step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
723,CASH_OUT,6199009.0,C935658927,6199009.0,0.0,C1938522935,938804.47,7137813.47,1,0
19,TRANSFER,500698.98,C966800981,316628.0,0.0,C133879537,19859.0,0.0,0,0
250,TRANSFER,177217.55,C1034306839,177217.55,0.0,C1979293202,0.0,0.0,1,0
228,PAYMENT,85848.84,C1245211602,10736.0,0.0,M1786154890,0.0,0.0,0,0
215,PAYMENT,9674.41,C559771,14675.0,5000.59,M1728686,0.0,0.0,0,0
12,CASH_OUT,1041647.06,C169939918,1041647.06,0.0,C1673501963,52730.33,1094377.39,1,0
403,CASH_OUT,227889.58,C549703225,0.0,0.0,C1124943593,708115.05,936004.63,0,0
42,CASH_OUT,3569720.42,C2012983997,3569720.42,0.0,C365271329,0.0,3569720.42,1,0
234,PAYMENT,21454.54,C2094804119,0.0,0.0,M1243173240,0.0,0.0,0,0
400,CASH_OUT,122300.72,C1037963705,51484.0,0.0,C904159690,0.0,122300.72,0,0
198,TRANSFER,2634032.61,C742596177,2634032.61,0.0,C1639263930,0.0,0.0,1,0
564,TRANSFER,337798.85,C1960512501,30763.0,0.0,C554326077,0.0,337798.85,0,0
99,CASH_OUT,130653.37,C2001925235,130653.37,0.0,C238467459,89246.77,219900.14,1,0
279,CASH_OUT,107825.24,C1014418506,0.0,0.0,C1517603402,335732.27,443557.51,0,0
315,CASH_OUT,76640.82,C47767227,76640.82,0.0,C756075054,0.0,76640.82,1,0
617,TRANSFER,621034.85,C1846853736,621034.85,0.0,C1061343039,0.0,0.0,1,0
399,CASH_OUT,156885.21,C168426127,0.0,0.0,C806418780,230980.93,387866.14,0,0
4,CASH_OUT,169941.73,C2026325575,169941.73,0.0,C1394526584,0.0,169941.73,1,0
257,CASH_OUT,14554.54,C1387236985,0.0,0.0,C975910370,1393557.3,1152887.32,0,0
321,CASH_OUT,203874.62,C2016803098,203874.62,0.0,C1127806629,472690.19,676564.81,1,0
404,TRANSFER,540914.12,C935920556,540914.12,0.0,C332143191,0.0,0.0,1,0
137,CASH_OUT,59964.24,C794633160,0.0,0.0,C346197494,244603.07,304567.31,0,0
259,CASH_OUT,89455.17,C1061829495,0.0,0.0,C795684055,5948847.43,6038302.59,0,0
431,PAYMENT,9775.3,C1645227887,426902.0,417126.7,M1485717619,0.0,0.0,0,0
212,CASH_OUT,124020.34,C488333422,0.0,0.0,C617052356,2834177.14,2958197.48,0,0
299,CASH_IN,45786.65,C948497238,2476041.25,2521827.9,C2115634451,171283.58,125496.93,0,0
506,CASH_OUT,575082.97,C307372020,575082.97,0.0,C1513349035,0.0,575082.97,1,0
205,TRANSFER,745735.54,C1517694265,40715.0,0.0,C1857059512,3734843.05,4480578.59,0,0
356,CASH_OUT,369672.98,C945029298,0.0,0.0,C933066669,2783044.96,3152717.93,0,0
472,TRANSFER,63440.63,C1431701654,63440.63,0.0,C906449417,0.0,0.0,1,0
17,PAYMENT,3842.48,C1268829282,20043.0,16200.52,M509511895,0.0,0.0,0,0
185,CASH_OUT,125672.78,C336362297,51992.0,0.0,C1840032458,61706.54,187379.32,0,0
65,CASH_OUT,701168.78,C1795901064,701168.78,0.0,C1652576276,841462.58,1542631.35,1,0
129,TRANSFER,139210.23,C922917235,139210.23,0.0,C1075980653,0.0,0.0,1,0
664,TRANSFER,84771.55,C353441050,84771.55,0.0,C1305397370,0.0,0.0,1,0
532,TRANSFER,254719.63,C1828919793,254719.63,0.0,C1458046968,0.0,0.0,1,0
611,TRANSFER,40873.25,C710694637,40873.25,0.0,C1394516732,0.0,0.0,1,0
612,CASH_OUT,68402.97,C2080660503,30836.0,0.0,C2126944678,0.0,68402.97,0,0
476,PAYMENT,8988.85,C27243120,7833.0,0.0,M717013071,0.0,0.0,0,0
330,TRANSFER,19692.68,C1019553772,19692.68,0.0,C1806361762,0.0,0.0,1,0
44,CASH_OUT,534255.94,C1829721095,534255.94,0.0,C991247178,24559.0,558814.94,1,0
701,CASH_OUT,1947831.96,C948133316,1947831.96,0.0,C1195105937,0.0,1947831.96,1,0
17,CASH_OUT,85180.51,C1263273010,0.0,0.0,C1224081716,439358.55,783681.46,0,0
229,PAYMENT,8200.25,C1542922367,11440.0,3239.75,M493987112,0.0,0.0,0,0
60,TRANSFER,89014.32,C1517105060,89014.32,0.0,C621322132,0.0,0.0,1,0
107,CASH_OUT,204675.48,C307731888,204675.48,0.0,C717487050,109380.43,314055.91,1,0
140,CASH_OUT,67961.6,C372032909,24415.0,0.0,C311451428,18005.9,85967.5,0,0
300,PAYMENT,23155.8,C2033576946,34195.0,11039.2,M1088923747,0.0,0.0,0,0
464,TRANSFER,336917.97,C1108270870,336917.97,0.0,C815315430,0.0,0.0,1,0
139,CASH_OUT,375141.86,C701624448,375141.86,0.0,C1632095414,124753.19,252008.88,1,0
164,CASH_IN,309840.75,C1041848193,10130948.58,10440789.33,C1650001801,3221450.63,2911609.88,0,0
185,CASH_OUT,20665.94,C12498996,0.0,0.0,C204783569,1010257.27,1030923.22,0,0
383,PAYMENT,9733.56,C1129310007,15315.0,5581.44,M1467327178,0.0,0.0,0,0
179,CASH_IN,104853.77,C1479291828,2559263.17,2664116.94,C262337380,347145.48,52028.57,0,0
403,CASH_OUT,132552.28,C890674813,0.0,0.0,C1938007896,229276.28,361828.56,0,0
211,CASH_IN,195657.04,C1123891502,17045.0,212702.04,C1696262776,306000.76,110343.73,0,0
17,PAYMENT,9481.91,C709940546,0.0,0.0,M2107306221,0.0,0.0,0,0
279,PAYMENT,3858.9,C1643410812,205800.28,201941.38,M1113193172,0.0,0.0,0,0
598,PAYMENT,13583.38,C419054299,20295.0,6711.62,M170180146,0.0,0.0,0,0
330,PAYMENT,42108.41,C2027418549,0.0,0.0,M725931672,0.0,0.0,0,0
132,PAYMENT,20034.79,C1908281570,0.0,0.0,M1818727899,0.0,0.0,0,0
33,TRANSFER,3295227.84,C1152596026,3295227.84,0.0,C1976114093,0.0,0.0,1,0
209,PAYMENT,8398.98,C2132927765,328083.2,319684.22,M2056861242,0.0,0.0,0,0
732,TRANSFER,311832.17,C65054182,311832.17,0.0,C833307608,0.0,0.0,1,0
353,CASH_IN,138938.86,C322084714,167.0,139105.86,C953494231,0.0,0.0,0,0
186,PAYMENT,3806.46,C1887033296,10316.83,6510.38,M928050452,0.0,0.0,0,0
612,CASH_IN,490217.54,C1076570585,1609342.18,2099559.72,C1376738677,3585614.38,3095396.84,0,0
188,CASH_OUT,79012.55,C418413280,39596.0,0.0,C1750622044,10361008.74,10440021.29,0,0
528,PAYMENT,30939.15,C1131781580,45410.95,14471.81,M1676193258,0.0,0.0,0,0
365,TRANSFER,86258.11,C1449357986,86258.11,0.0,C185244782,0.0,0.0,1,0
409,CASH_OUT,2284476.12,C175222097,2284476.12,0.0,C335340729,6835.89,2291312.01,1,0
10,CASH_OUT,143488.21,C1483097447,0.0,0.0,C1463942959,5615116.14,5758604.36,0,0
322,PAYMENT,2306.12,C675335003,51323.13,49017.01,M249210689,0.0,0.0,0,0
327,PAYMENT,11404.46,C1593018901,18012.0,6607.54,M1132947378,0.0,0.0,0,0
154,CASH_IN,363626.22,C6496251,4310395.0,4674021.23,C1189179252,3996984.58,3633358.35,0,0
415,CASH_OUT,461369.99,C2081855471,461369.99,0.0,C1671232989,2572575.13,3033945.11,1,0
138,CASH_OUT,250567.63,C2075770459,0.0,0.0,C859009954,675552.33,926119.97,0,0
235,CASH_OUT,218338.42,C1044529814,0.0,0.0,C1088199533,1088935.03,1307273.46,0,0
155,CASH_OUT,189843.64,C1755134851,1848.0,0.0,C860083072,1508122.27,1697965.92,0,0
322,CASH_OUT,287307.77,C173052623,0.0,0.0,C2023077528,1069474.0,1356781.77,0,0
397,CASH_OUT,2107997.33,C1471805107,2107997.33,0.0,C719805094,0.0,2107997.33,1,0
329,TRANSFER,338062.05,C1562312616,338062.05,0.0,C227222097,0.0,0.0,1,0
323,CASH_OUT,153817.51,C396010833,20235.0,0.0,C778059081,2250971.56,2404789.07,0,0
402,TRANSFER,395304.31,C1320546635,0.0,0.0,C1376102895,552203.98,808222.77,0,0
250,PAYMENT,32562.57,C1397969346,100578.0,68015.43,M2140308055,0.0,0.0,0,0
551,CASH_OUT,43907.29,C689467493,4570.0,0.0,C1646967877,203840.23,247747.52,0,0
741,CASH_OUT,10000000.0,C1668034607,10000000.0,0.0,C1250722530,192912.98,10192912.98,1,0
674,TRANSFER,3288377.47,C1001875185,3288377.47,0.0,C690110733,0.0,0.0,1,0
150,CASH_OUT,119454.86,C1044668407,119454.86,0.0,C1238137303,0.0,119454.86,1,0
135,CASH_OUT,7927.06,C2071408487,7927.06,0.0,C1313763244,0.0,7927.06,1,0
155,CASH_OUT,45484.23,C2028132055,173223.0,127738.77,C821326154,556988.46,662508.92,0,0
16,CASH_OUT,13382.68,C1036520392,0.0,0.0,C1944693763,473907.47,604567.47,0,0
435,TRANSFER,365332.78,C815195284,365332.78,0.0,C181224560,0.0,0.0,1,0
208,PAYMENT,6016.01,C851700320,146016.0,139999.99,M1880500227,0.0,0.0,0,0
460,CASH_OUT,1424002.7,C9486206,1424002.7,0.0,C2094181723,11407.5,1435410.19,1,0
279,CASH_OUT,53741.78,C1216165942,277.0,0.0,C1581250079,321124.17,374865.95,0,0
138,PAYMENT,5123.5,C1483135498,0.0,0.0,M1438165652,0.0,0.0,0,0
372,CASH_OUT,164326.1,C1228959216,7007.0,0.0,C145732569,0.0,164326.1,0,0
252,PAYMENT,14842.26,C1091035709,32048.45,17206.19,M1219660595,0.0,0.0,0,0
229,CASH_IN,408068.76,C485981082,3020954.94,3429023.71,C923350226,3993259.28,3585190.52,0,0
273,TRANSFER,601494.61,C847336008,601494.61,0.0,C1251618677,0.0,0.0,1,0
48,TRANSFER,2078560.34,C726327731,0.0,0.0,C1313582591,11682730.95,13761291.29,0,0
34,CASH_IN,12852.2,C347328249,6490114.07,6502966.27,C2055421863,271434.02,267302.44,0,0
610,PAYMENT,4217.84,C2033783780,576.0,0.0,M1920476950,0.0,0.0,0,0
305,CASH_OUT,108722.4,C1894234774,7101.0,0.0,C289479177,3671.88,112394.28,0,0
165,PAYMENT,20020.61,C197380205,141116.61,121096.01,M505397400,0.0,0.0,0,0
408,CASH_OUT,66692.96,C1119962034,118786.11,52093.15,C1249432690,212349.43,279042.39,0,0
637,CASH_OUT,3845765.36,C2141919864,3845765.36,0.0,C1371101627,0.0,3845765.36,1,0
39,CASH_OUT,2730.91,C1487535896,42733.0,40002.09,C770001516,1806922.67,1809653.57,0,0
617,CASH_OUT,10000000.0,C1596180537,10000000.0,0.0,C2105645265,0.0,10000000.0,1,0
9,PAYMENT,9766.58,C95439313,497185.15,487418.56,M1413136076,0.0,0.0,0,0
20,TRANSFER,151085.59,C275558369,16131.0,0.0,C1827691005,0.0,151085.59,0,0
397,TRANSFER,704477.84,C428185794,0.0,0.0,C521979785,1268527.8,1973005.63,0,0
404,CASH_OUT,93057.02,C1905356262,208778.0,115720.98,C611370256,136938.94,229995.96,0,0
610,CASH_OUT,646676.42,C424693863,646676.42,0.0,C791586843,111156.33,757832.75,1,0
461,CASH_OUT,1464614.79,C1138281794,1464614.79,0.0,C1873232780,0.0,1464614.79,1,0
149,CASH_OUT,661558.27,C2133707942,661558.27,0.0,C129318396,3050611.21,3712169.48,1,0
132,PAYMENT,5017.91,C445439516,366160.39,361142.48,M1286376155,0.0,0.0,0,0
203,CASH_OUT,77425.18,C336292838,0.0,0.0,C2010728617,1783099.45,1860524.63,0,0
54,CASH_OUT,438224.6,C1238831225,438224.6,0.0,C296924123,320697.46,758922.05,1,0
348,CASH_IN,161218.96,C1999700140,4117718.41,4278937.37,C922723038,217439.09,56220.13,0,0
14,CASH_OUT,133306.59,C644920390,47601.1,0.0,C1925852722,473913.98,607220.57,0,0
337,TRANSFER,623152.72,C462257354,623152.72,0.0,C565177857,0.0,0.0,1,0
237,TRANSFER,321241.84,C1552999118,321241.84,0.0,C1921706460,0.0,0.0,1,0
331,CASH_IN,133628.83,C776739325,32166.0,165794.83,C1042358213,4595.15,0.0,0,0
236,PAYMENT,5216.76,C458867164,520.0,0.0,M266710417,0.0,0.0,0,0
279,PAYMENT,24140.51,C732230407,0.0,0.0,M1419469115,0.0,0.0,0,0
305,PAYMENT,4116.02,C403788816,0.0,0.0,M1338507610,0.0,0.0,0,0
182,CASH_OUT,43744.61,C1382345621,0.0,0.0,C2105733665,52420.52,96165.13,0,0
182,TRANSFER,767755.17,C304885039,767755.17,0.0,C2068840304,0.0,0.0,1,0
382,CASH_IN,304960.35,C1605012142,29069793.52,29374753.87,C220253377,609160.34,304199.99,0,0
154,PAYMENT,32564.55,C1687542005,237146.8,204582.24,M1942303779,0.0,0.0,0,0
42,TRANSFER,1917497.63,C373557981,1917497.63,0.0,C114416170,0.0,0.0,1,0
185,CASH_OUT,242465.49,C1367101054,5056.0,0.0,C1937881492,461677.93,704143.42,0,0
236,CASH_OUT,88263.52,C1448408254,0.0,0.0,C1978101099,2019925.2,2182054.9,0,0
19,CASH_OUT,112960.15,C1894242923,0.0,0.0,C1883201664,745526.21,858486.36,0,0
461,CASH_OUT,830991.53,C307666203,830991.53,0.0,C1498742715,48795.65,879787.17,1,0
128,CASH_OUT,3062506.58,C1347372630,3062506.58,0.0,C1738146204,0.0,3062506.58,1,0
189,CASH_IN,124074.67,C1355283807,395414.56,519489.23,C779037911,2536739.24,2412664.57,0,0
376,CASH_OUT,282930.91,C2042317659,50520.0,0.0,C1423108740,100498.48,383429.39,0,0
237,PAYMENT,6726.78,C1900199558,0.0,0.0,M150021097,0.0,0.0,0,0
11,CASH_IN,285632.03,C886783925,52243.71,337875.74,C132676069,0.0,0.0,0,0
17,PAYMENT,43687.34,C2008254053,64845.2,21157.86,M1216804789,0.0,0.0,0,0
300,PAYMENT,23576.28,C473125802,677285.96,653709.69,M1401192261,0.0,0.0,0,0
273,CASH_OUT,65516.41,C1299833458,115018.0,49501.59,C1817619626,0.0,65516.41,0,0
380,PAYMENT,5466.03,C1896561078,0.0,0.0,M831854039,0.0,0.0,0,0
133,CASH_OUT,16478.4,C1861803220,0.0,0.0,C1305282224,293501.04,309979.44,0,0
16,CASH_OUT,200837.04,C1154604861,41471.0,0.0,C829224144,41705.0,242542.04,0,0
257,PAYMENT,16782.57,C607386546,31313.0,14530.43,M2037781941,0.0,0.0,0,0
542,TRANSFER,5166393.44,C1707763066,5166393.44,0.0,C190447545,0.0,0.0,1,0
238,TRANSFER,10000000.0,C1028530067,15274773.52,5274773.52,C1390461904,0.0,0.0,1,0
355,CASH_OUT,384508.46,C293086250,0.0,0.0,C158816001,849846.93,1234355.39,0,0
395,PAYMENT,46627.9,C680062523,0.0,0.0,M585375996,0.0,0.0,0,0
130,TRANSFER,321712.19,C1390462767,0.0,0.0,C874144172,4789031.02,5110743.21,0,0
301,PAYMENT,1810.14,C1988220199,0.0,0.0,M806673806,0.0,0.0,0,0
41,TRANSFER,523111.11,C1112254209,0.0,0.0,C1776207726,1583965.36,2107076.47,0,0
271,CASH_OUT,642364.74,C790384924,642364.74,0.0,C348795905,0.0,642364.74,1,0
15,CASH_IN,342692.32,C630750356,10486.0,353178.32,C1534705238,0.0,0.0,0,0
373,CASH_OUT,331721.53,C1312876802,41803.0,0.0,C644616719,0.0,331721.53,0,0
449,CASH_OUT,219979.57,C586477634,50068.0,0.0,C1628505644,48281.99,268261.56,0,0
367,CASH_OUT,902483.91,C1202457928,902483.91,0.0,C2142717530,2271023.91,3173507.82,1,0
163,CASH_OUT,109480.44,C462695952,35608.0,0.0,C315161875,414605.48,524085.92,0,0
141,TRANSFER,217365.58,C2112887318,0.0,0.0,C895445016,1493343.36,1710708.94,0,0
379,CASH_IN,113025.04,C2086171951,898054.15,1011079.18,C1592030215,1221272.8,1108247.77,0,0
11,TRANSFER,1739911.28,C2090401232,7655.0,0.0,C290945720,6826024.09,8565935.38,0,0
694,CASH_OUT,5175876.53,C731901376,5175876.53,0.0,C1761260133,7229712.73,12405589.26,1,0
42,CASH_IN,191802.26,C1811450131,1915.39,193717.65,C1618215235,76669.05,0.0,0,0
209,PAYMENT,3285.57,C1687090817,0.0,0.0,M718159710,0.0,0.0,0,0
373,CASH_OUT,117249.99,C532967631,26105.0,0.0,C1557221720,30435.45,147685.44,0,0
238,CASH_OUT,133989.61,C285621182,0.0,0.0,C755223579,2111870.44,2245860.05,0,0
281,CASH_OUT,294245.12,C325039568,40772.0,0.0,C1117400135,1779581.01,2073826.12,0,0
379,CASH_OUT,7622.01,C1064348677,4829.0,0.0,C1023560928,448988.2,901763.84,0,0
12,CASH_IN,229149.99,C522478257,12482897.06,12712047.05,C580253253,1350348.22,1121198.23,0,0
44,PAYMENT,9431.44,C916514202,0.0,0.0,M848539483,0.0,0.0,0,0
425,CASH_OUT,486175.4,C1737680610,486175.4,0.0,C1596545373,0.0,486175.4,1,0
398,CASH_OUT,55247.48,C355084897,55247.48,0.0,C1980653895,11215285.22,11270532.7,1,0
302,CASH_OUT,87925.25,C1030680003,50061.0,0.0,C435365761,3641002.11,3728927.36,0,0
520,PAYMENT,29577.2,C660096183,153200.0,123622.8,M1626168174,0.0,0.0,0,0
164,CASH_OUT,177680.54,C741693784,177680.54,0.0,C1246356701,158560.03,336240.57,1,0
404,CASH_IN,129349.78,C1791606570,1412490.26,1541840.04,C1580003717,3218832.15,3089482.37,0,0
219,TRANSFER,36371.77,C2064408554,36371.77,0.0,C1562975084,0.0,0.0,1,0
162,PAYMENT,2607.6,C1423098298,21639.0,19031.4,M1743262986,0.0,0.0,0,0
261,TRANSFER,591032.52,C1420583441,591032.52,0.0,C1377219388,0.0,0.0,1,0
439,TRANSFER,3653274.35,C1750635867,3653274.35,0.0,C175456218,0.0,0.0,1,0
285,CASH_OUT,106654.67,C1032151084,106654.67,0.0,C297867369,46760.32,153414.99,1,0
323,CASH_IN,312850.64,C1205642418,30496.0,343346.64,C1595965288,0.0,0.0,0,0
133,PAYMENT,37098.93,C606557427,0.0,0.0,M1170783380,0.0,0.0,0,0
495,CASH_OUT,74469.67,C40563649,0.0,0.0,C1793782490,570842.85,645312.52,0,0
19,CASH_OUT,205163.84,C265143874,0.0,0.0,C736346327,268389.1,698798.95,0,0
239,CASH_IN,180208.86,C352228189,31942.0,212150.86,C604688420,237382.41,57173.55,0,0
395,CASH_OUT,195279.32,C1322816091,8034.0,0.0,C783744142,0.0,195279.32,0,0
352,TRANSFER,1962548.46,C139606427,1962548.46,0.0,C2082743623,0.0,0.0,1,0
306,CASH_OUT,363791.66,C218134122,0.0,0.0,C984690571,784751.37,1148543.03,0,0
235,PAYMENT,5025.45,C1894298325,0.0,0.0,M623273663,0.0,0.0,0,0
205,PAYMENT,19903.63,C1918398505,169232.0,149328.37,M1705092147,0.0,0.0,0,0
133,CASH_IN,56403.43,C1707134322,9206963.6,9263367.04,C1675553530,1477712.19,1421308.76,0,0
321,PAYMENT,3251.83,C1196798426,0.0,0.0,M1627481467,0.0,0.0,0,0
714,CASH_OUT,10000000.0,C1440908860,10000000.0,0.0,C1590217660,377441.15,10377441.15,1,0
160,PAYMENT,6113.05,C664905063,0.0,0.0,M910433801,0.0,0.0,0,0
283,CASH_IN,134704.75,C1723460837,2430111.19,2564815.94,C118136684,9639546.74,9504841.99,0,0
211,PAYMENT,2373.34,C977931206,0.0,0.0,M497666513,0.0,0.0,0,0
621,PAYMENT,388.04,C1360012913,5551.0,5162.96,M1760414180,0.0,0.0,0,0
19,PAYMENT,19875.8,C1942521018,19492.0,0.0,M1724034356,0.0,0.0,0,0
34,CASH_OUT,407386.32,C1548788425,25328.0,0.0,C1596062467,842600.2,1249986.52,0,0
485,TRANSFER,471906.6,C17156930,471906.6,0.0,C1931513332,0.0,0.0,1,0
208,CASH_OUT,108716.06,C931521264,7038.0,0.0,C1762794056,0.0,108716.06,0,0
321,CASH_OUT,286112.21,C1117833251,13374.0,0.0,C975413223,3765428.2,4051540.41,0,0
14,TRANSFER,185630.59,C208818014,412454.31,226823.72,C571113365,10615590.76,10524098.22,0,0
645,TRANSFER,326250.51,C193546785,326250.51,0.0,C214988457,0.0,0.0,1,0
211,PAYMENT,3975.06,C7067704,372535.78,368560.71,M597635768,0.0,0.0,0,0
522,CASH_OUT,144743.02,C1288473590,6017.0,0.0,C832812081,644477.61,789220.62,0,0
95,TRANSFER,8775594.43,C1917836086,8775594.43,0.0,C1694421805,0.0,0.0,1,0
10,PAYMENT,3950.45,C1359750083,0.0,0.0,M2117228884,0.0,0.0,0,0
593,CASH_OUT,125146.75,C1198861647,125146.75,0.0,C490114096,1820417.69,1945564.44,1,0
235,PAYMENT,7079.39,C1258000121,438012.0,430932.61,M201691622,0.0,0.0,0,0
253,TRANSFER,168455.76,C1968388309,168455.76,0.0,C752698440,0.0,0.0,1,0
186,PAYMENT,27246.51,C488415823,1081.0,0.0,M140434064,0.0,0.0,0,0
129,CASH_IN,138507.0,C759624030,5523.0,144030.0,C565550254,786575.37,648068.37,0,0
131,CASH_OUT,324731.73,C301142793,23151.0,0.0,C681107717,0.0,324731.73,0,0
205,CASH_OUT,343146.37,C765777571,0.0,0.0,C1242694295,344143.76,687290.13,0,0
163,TRANSFER,404419.37,C70603526,3335.0,0.0,C1453683133,0.0,404419.37,0,0
500,TRANSFER,21832.43,C2086908548,21832.43,0.0,C418623592,0.0,0.0,1,0
352,CASH_IN,124545.18,C680966309,204.0,124749.18,C1635530763,2545493.71,2420948.53,0,0
574,TRANSFER,58863.89,C1649037642,58863.89,0.0,C1806065948,0.0,0.0,1,0
342,CASH_OUT,348952.97,C1242285764,348952.97,0.0,C231206741,203323.19,552276.17,1,0
460,CASH_OUT,414095.91,C593887896,414095.91,0.0,C434667197,0.0,414095.91,1,0
136,CASH_IN,132541.41,C1963979196,2300.0,134841.41,C921393414,0.0,0.0,0,0
183,PAYMENT,23965.21,C427901435,0.0,0.0,M2073368989,0.0,0.0,0,0
111,CASH_OUT,3595911.39,C1877698691,3595911.39,0.0,C1757559397,82970.96,3678882.35,1,0
9,CASH_OUT,513625.95,C1611058489,12561.0,0.0,C794358930,17469.41,436980.32,0,0
143,CASH_OUT,810599.16,C1150396076,810599.16,0.0,C1385705037,971634.6,1782233.77,1,0
488,TRANSFER,5363795.31,C46940943,5363795.31,0.0,C1142866922,0.0,0.0,1,0
275,PAYMENT,5936.51,C96074906,111765.06,105828.55,M381328609,0.0,0.0,0,0
324,CASH_IN,274888.63,C353493248,21172.0,296060.63,C1598230107,245597.38,0.0,0,0
278,PAYMENT,4333.56,C1208859928,203251.92,198918.36,M1254110536,0.0,0.0,0,0
158,PAYMENT,9021.0,C1741201742,105202.0,96181.0,M717104782,0.0,0.0,0,0
37,CASH_IN,294938.98,C950802969,12348.0,307286.98,C1680148953,0.0,0.0,0,0
