DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA NAME,Part 1-2,Crime code,Crime Code Desc,Vict Age,Vict Sex,Premis Cd,Premis Desc,Status Desc,LAT,LON
201116973,12/26/2020 12:00:00 AM,12/26/2020 12:00:00 AM,332,Northeast,1,510,VEHICLE - STOLEN,156,,101,STREET,Invest Cont,34.1038,-118.1987
200510994,06/25/2020 12:00:00 AM,06/25/2020 12:00:00 AM,230,Harbor,1,510,VEHICLE - STOLEN,9000,,108,PARKING LOT,Invest Cont,33.7315,-118.2879
201107590,03/22/2020 12:00:00 AM,03/21/2020 12:00:00 AM,2000,Northeast,1,510,VEHICLE - STOLEN,,,101,STREET,Invest Cont,34.1109,-118.2016
200119680,10/19/2020 12:00:00 AM,10/18/2020 12:00:00 AM,1800,Central,1,510,VEHICLE - STOLEN,,,108,PARKING LOT,Invest Cont,34.0366,-118.2325
200410224,06/27/2020 12:00:00 AM,06/27/2020 12:00:00 AM,400,Hollenbeck,1,510,VEHICLE - STOLEN,0,,108,PARKING LOT,Invest Cont,34.0427,-118.2237
200412621,09-10-2020 00:00,09-09-2020 00:00,1800,Hollenbeck,1,510,VEHICLE - STOLEN,0,,101,STREET,Invest Cont,34.0424,-118.2107
201106871,03-04-2020 00:00,03-02-2020 00:00,2130,Northeast,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),50,M,101,STREET,Invest Cont,34.1241,-118.1878
200111627,05-12-2020 00:00,05-10-2020 00:00,2200,Central,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,30,F,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",Adult Arrest,34.0618,-118.2424
200109800,03/29/2020 12:00:00 AM,03/29/2020 12:00:00 AM,930,Central,1,330,BURGLARY FROM VEHICLE,0,M,103,ALLEY,Invest Cont,34.0416,-118.255
201225656,12-02-2020 00:00,12-02-2020 00:00,2245,77th Street,1,210,ROBBERY,21,M,101,STREET,Invest Cont,33.961,-118.2695
200309451,04-04-2020 00:00,04-04-2020 00:00,1210,Southwest,1,310,BURGLARY,19,X,301,GAS STATION,Invest Cont,34.0199,-118.3556
200211094,06-08-2020 00:00,06-06-2020 00:00,1200,Rampart,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,X,247,CAR WASH,Invest Cont,34.0682,-118.2609
201212036,05-02-2020 00:00,05-01-2020 00:00,2330,77th Street,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",28,F,501,SINGLE FAMILY DWELLING,Invest Cont,33.9654,-118.2739
200914517,09-10-2020 00:00,09-09-2020 00:00,1735,Van Nuys,2,354,THEFT OF IDENTITY,40,M,507,CONDOMINIUM/TOWNHOUSE,Invest Cont,34.2039,-118.4312
200105246,01/18/2020 12:00:00 AM,01/18/2020 12:00:00 AM,940,Central,2,624,BATTERY - SIMPLE ASSAULT,42,M,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",Adult Arrest,34.0639,-118.2295
201106067,02/15/2020 12:00:00 AM,02/15/2020 12:00:00 AM,1830,Northeast,1,330,BURGLARY FROM VEHICLE,43,M,108,PARKING LOT,Invest Cont,34.1179,-118.293
201116118,11/27/2020 12:00:00 AM,11/23/2020 12:00:00 AM,1200,Northeast,2,354,THEFT OF IDENTITY,26,M,501,SINGLE FAMILY DWELLING,Invest Cont,34.1095,-118.2958
200716724,12-04-2020 00:00,12-03-2020 00:00,811,Wilshire,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),19,M,203,OTHER BUSINESS,Invest Cont,34.0761,-118.3737
200217442,11/15/2020 12:00:00 AM,11/15/2020 12:00:00 AM,310,Rampart,1,310,BURGLARY,36,M,210,RESTAURANT/FAST FOOD,Invest Cont,34.0758,-118.2552
200914052,08/27/2020 12:00:00 AM,08/27/2020 12:00:00 AM,1255,Van Nuys,2,624,BATTERY - SIMPLE ASSAULT,57,F,102,SIDEWALK,Invest Cont,34.1847,-118.44
200810920,06/20/2020 12:00:00 AM,06/20/2020 12:00:00 AM,1000,West LA,2,624,BATTERY - SIMPLE ASSAULT,78,F,510,NURSING/CONVALESCENT/RETIREMENT HOME,Adult Other,34.0423,-118.4656
201112187,08-04-2020 00:00,07/16/2020 12:00:00 AM,1900,Northeast,2,662,"BUNCO, GRAND THEFT",51,F,501,SINGLE FAMILY DWELLING,Invest Cont,34.099,-118.2738
201212259,05-05-2020 00:00,05-05-2020 00:00,932,77th Street,1,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),0,X,402,MARKET,Invest Cont,33.9874,-118.2827
200918185,12-07-2020 00:00,12-07-2020 00:00,1203,Van Nuys,2,900,VIOLATION OF COURT ORDER,52,F,725,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",Adult Arrest,34.1837,-118.4465
200105289,01/19/2020 12:00:00 AM,01/16/2020 12:00:00 AM,1700,Central,1,510,VEHICLE - STOLEN,0,,104,DRIVEWAY,Invest Cont,34.0587,-118.233
200516527,11-12-2020 00:00,11-12-2020 00:00,430,Harbor,1,510,VEHICLE - STOLEN,0,,104,DRIVEWAY,Invest Cont,33.8129,-118.3071
200609101,04/15/2020 12:00:00 AM,04-12-2020 00:00,1300,Hollywood,1,510,VEHICLE - STOLEN,0,,108,PARKING LOT,Adult Other,34.1017,-118.3136
201210786,04-11-2020 00:00,04-11-2020 00:00,2035,77th Street,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",26,F,103,ALLEY,Invest Cont,33.973,-118.2652
200706211,02/17/2020 12:00:00 AM,02/16/2020 12:00:00 AM,2350,Wilshire,2,624,BATTERY - SIMPLE ASSAULT,29,F,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",Adult Other,34.0677,-118.3548
200514277,09/17/2020 12:00:00 AM,09/17/2020 12:00:00 AM,2255,Harbor,2,901,VIOLATION OF RESTRAINING ORDER,46,F,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",Adult Other,33.7478,-118.2822
200506268,02/22/2020 12:00:00 AM,02/22/2020 12:00:00 AM,1900,Harbor,1,440,THEFT PLAIN - PETTY ($950 & UNDER),29,F,102,SIDEWALK,Invest Cont,33.7926,-118.3043
200119908,10/24/2020 12:00:00 AM,10/23/2020 12:00:00 AM,2330,Central,1,330,BURGLARY FROM VEHICLE,0,F,108,PARKING LOT,Invest Cont,34.0406,-118.2578
200206940,02/27/2020 12:00:00 AM,02/27/2020 12:00:00 AM,1255,Rampart,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",28,M,101,STREET,Invest Cont,34.0751,-118.2717
200709456,05/20/2020 12:00:00 AM,05/20/2020 12:00:00 AM,1250,Wilshire,1,330,BURGLARY FROM VEHICLE,53,F,501,SINGLE FAMILY DWELLING,Invest Cont,34.0443,-118.3538
201014375,10/24/2020 12:00:00 AM,10/23/2020 12:00:00 AM,2330,West Valley,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0,M,210,RESTAURANT/FAST FOOD,Invest Cont,34.1939,-118.536
200117110,08/28/2020 12:00:00 AM,05-01-2020 00:00,100,Central,1,121,"RAPE, FORCIBLE",22,F,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",Invest Cont,34.0465,-118.2488
200610130,05-11-2020 00:00,05-11-2020 00:00,1130,Hollywood,1,210,ROBBERY,0,X,401,MINI-MART,Adult Arrest,34.098,-118.3416
200714035,09/20/2020 12:00:00 AM,09-01-2020 00:00,1,Wilshire,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),70,F,101,STREET,Invest Cont,34.0783,-118.3474
200210863,06-01-2020 00:00,06-01-2020 00:00,1525,Rampart,1,510,VEHICLE - STOLEN,0,,101,STREET,Invest Cont,34.0653,-118.2725
200911839,07-02-2020 00:00,06/26/2020 12:00:00 AM,1200,Van Nuys,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),36,M,101,STREET,Invest Cont,34.1545,-118.4552
200615995,09/28/2020 12:00:00 AM,09/27/2020 12:00:00 AM,35,Hollywood,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0,X,203,OTHER BUSINESS,Invest Cont,34.098,-118.3335
200200760,07-07-2020 00:00,07-07-2020 00:00,1620,Rampart,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",45,M,102,SIDEWALK,Invest Cont,34.0628,-118.2821
201115543,11-08-2020 00:00,11-08-2020 00:00,1500,Northeast,1,330,BURGLARY FROM VEHICLE,42,M,101,STREET,Invest Cont,34.0834,-118.2599
200320615,11/18/2020 12:00:00 AM,11-11-2020 00:00,2300,Southwest,1,480,BIKE - STOLEN,22,M,121,YARD (RESIDENTIAL/BUSINESS),Invest Cont,34.0303,-118.2874
200200724,06-05-2020 00:00,06-04-2020 00:00,1850,Rampart,2,624,BATTERY - SIMPLE ASSAULT,39,M,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",Adult Arrest,34.0888,-118.2881
201007153,03-12-2020 00:00,03-12-2020 00:00,640,West Valley,2,888,TRESPASSING,45,F,501,SINGLE FAMILY DWELLING,Adult Arrest,34.212,-118.5579
201308239,03/16/2020 12:00:00 AM,02/28/2020 12:00:00 AM,2300,Newton,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),62,M,510,NURSING/CONVALESCENT/RETIREMENT HOME,Invest Cont,34.0175,-118.2574
200506936,03-09-2020 00:00,03-08-2020 00:00,1830,Harbor,1,510,VEHICLE - STOLEN,0,,101,STREET,Invest Cont,33.8268,-118.309
201217850,08-04-2020 00:00,08-04-2020 00:00,1000,77th Street,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,31,F,501,SINGLE FAMILY DWELLING,Adult Other,33.9786,-118.2827
200310566,04/25/2020 12:00:00 AM,04/25/2020 12:00:00 AM,950,Southwest,1,440,THEFT PLAIN - PETTY ($950 & UNDER),37,M,402,MARKET,Invest Cont,34.0256,-118.3061
201222029,10-04-2020 00:00,10-04-2020 00:00,1800,77th Street,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,32,F,101,STREET,Invest Cont,33.9619,-118.2717
201211083,04/17/2020 12:00:00 AM,04/16/2020 12:00:00 AM,1700,77th Street,1,510,VEHICLE - STOLEN,0,,101,STREET,Invest Cont,33.9983,-118.2813
201209876,03/27/2020 12:00:00 AM,03/27/2020 12:00:00 AM,1650,77th Street,1,210,ROBBERY,0,M,101,STREET,Invest Cont,33.9664,-118.3134
201009044,05/15/2020 12:00:00 AM,05/13/2020 12:00:00 AM,1315,West Valley,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0,M,104,DRIVEWAY,Invest Cont,34.1718,-118.4993
201110399,06/13/2020 12:00:00 AM,06-11-2020 00:00,1700,Northeast,1,330,BURGLARY FROM VEHICLE,34,F,101,STREET,Invest Cont,34.097,-118.2518
201307829,03-09-2020 00:00,02/28/2020 12:00:00 AM,1600,Newton,1,510,VEHICLE - STOLEN,0,,104,DRIVEWAY,Invest Cont,34.0326,-118.2322
200311518,05/18/2020 12:00:00 AM,05/14/2020 12:00:00 AM,1900,Southwest,1,520,VEHICLE - ATTEMPT STOLEN,65,M,101,STREET,Invest Cont,34.0142,-118.3281
200304274,01-05-2020 00:00,01-04-2020 00:00,2030,Southwest,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",60,F,122,"VEHICLE, PASSENGER/TRUCK",Invest Cont,34.0121,-118.2968
200119934,10/24/2020 12:00:00 AM,10/24/2020 12:00:00 AM,645,Central,2,354,THEFT OF IDENTITY,49,M,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",Invest Cont,34.0512,-118.2419
200814436,09/23/2020 12:00:00 AM,09/23/2020 12:00:00 AM,1100,West LA,1,510,VEHICLE - STOLEN,0,,101,STREET,Invest Cont,34.0417,-118.4041
200316872,09-04-2020 00:00,09-03-2020 00:00,900,Southwest,1,330,BURGLARY FROM VEHICLE,38,M,707,GARAGE/CARPORT,Invest Cont,33.9967,-118.3306
200911119,06/16/2020 12:00:00 AM,06/15/2020 12:00:00 AM,2300,Van Nuys,1,330,BURGLARY FROM VEHICLE,37,M,101,STREET,Invest Cont,34.2041,-118.4425
201212066,05-03-2020 00:00,05-03-2020 00:00,1235,77th Street,2,437,RESISTING ARREST,0,X,101,STREET,Adult Arrest,33.9746,-118.3177
200410047,06/22/2020 12:00:00 AM,02-01-2020 00:00,1,Hollenbeck,1,510,VEHICLE - STOLEN,0,,101,STREET,Invest Cont,34.0912,-118.1624
200312493,06-10-2020 00:00,05/25/2020 12:00:00 AM,1500,Southwest,2,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",0,,203,OTHER BUSINESS,Invest Cont,34.0183,-118.3204
200513373,08/25/2020 12:00:00 AM,08-11-2020 00:00,246,Harbor,1,310,BURGLARY,0,X,123,PARKING UNDERGROUND/BUILDING,Invest Cont,33.7387,-118.2814
201220752,09/16/2020 12:00:00 AM,09/16/2020 12:00:00 AM,1230,77th Street,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),62,M,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",Invest Cont,33.9739,-118.263
200318436,10-05-2020 00:00,10-05-2020 00:00,2250,Southwest,2,624,BATTERY - SIMPLE ASSAULT,29,F,101,STREET,Adult Arrest,34.0183,-118.3504
200618244,11/20/2020 12:00:00 AM,11/19/2020 12:00:00 AM,2030,Hollywood,1,510,VEHICLE - STOLEN,0,,101,STREET,Invest Cont,34.1007,-118.3494
200214497,09-01-2020 00:00,06/13/2020 12:00:00 AM,1340,Rampart,2,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",0,X,108,PARKING LOT,Invest Cont,34.0579,-118.2649
200805831,02-10-2020 00:00,01/30/2020 12:00:00 AM,5,West LA,2,354,THEFT OF IDENTITY,57,F,501,SINGLE FAMILY DWELLING,Invest Cont,34.0494,-118.4866
200616504,10-10-2020 00:00,10-09-2020 00:00,2345,Hollywood,1,210,ROBBERY,29,F,707,GARAGE/CARPORT,Invest Cont,34.0998,-118.3211
201309446,04/15/2020 12:00:00 AM,04/15/2020 12:00:00 AM,1730,Newton,1,410,"BURGLARY FROM VEHICLE, ATTEMPTED",30,M,101,STREET,Adult Arrest,34.0233,-118.2516
200717189,12/16/2020 12:00:00 AM,12/13/2020 12:00:00 AM,1500,Wilshire,1,330,BURGLARY FROM VEHICLE,43,F,102,SIDEWALK,Invest Cont,34.0496,-118.3425
200817626,12/17/2020 12:00:00 AM,12/16/2020 12:00:00 AM,1600,West LA,1,510,VEHICLE - STOLEN,0,,101,STREET,Invest Cont,34.0484,-118.4437
201110326,06-12-2020 00:00,06-11-2020 00:00,2000,Northeast,1,510,VEHICLE - STOLEN,0,,101,STREET,Invest Cont,34.1148,-118.1869
201106089,02/16/2020 12:00:00 AM,02/16/2020 12:00:00 AM,915,Northeast,2,624,BATTERY - SIMPLE ASSAULT,24,F,501,SINGLE FAMILY DWELLING,Adult Arrest,34.1307,-118.1907
200106948,02-11-2020 00:00,02-11-2020 00:00,1915,Central,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,34,M,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",Invest Cont,34.046,-118.2493
200806568,02/27/2020 12:00:00 AM,02/20/2020 12:00:00 AM,1200,West LA,1,480,BIKE - STOLEN,35,M,707,GARAGE/CARPORT,Invest Cont,34.045,-118.4557
200212443,07-11-2020 00:00,07-05-2020 00:00,900,Rampart,1,510,VEHICLE - STOLEN,0,,101,STREET,Invest Cont,34.0698,-118.2595
201216960,07/21/2020 12:00:00 AM,07/21/2020 12:00:00 AM,1820,77th Street,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",61,M,501,SINGLE FAMILY DWELLING,Adult Arrest,34.0001,-118.3096
200914159,08/30/2020 12:00:00 AM,08/30/2020 12:00:00 AM,1420,Van Nuys,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,23,M,501,SINGLE FAMILY DWELLING,Adult Other,34.2012,-118.4432
201104052,01-01-2020 00:00,01-01-2020 00:00,2030,Northeast,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0,X,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",Adult Arrest,34.1442,-118.218
201007391,03/19/2020 12:00:00 AM,03/18/2020 12:00:00 AM,1800,West Valley,1,310,BURGLARY,0,M,220,NAIL SALON,Invest Cont,34.1725,-118.5475
200906435,02/24/2020 12:00:00 AM,02/23/2020 12:00:00 AM,1800,Van Nuys,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",34,F,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",Invest Cont,34.2012,-118.4574
201114637,10/14/2020 12:00:00 AM,10/13/2020 12:00:00 AM,2200,Northeast,1,510,VEHICLE - STOLEN,0,,101,STREET,Invest Cont,34.0815,-118.2546
200414361,10/28/2020 12:00:00 AM,10/15/2020 12:00:00 AM,1200,Hollenbeck,2,354,THEFT OF IDENTITY,49,M,501,SINGLE FAMILY DWELLING,Invest Cont,34.0273,-118.2176
200911049,06/15/2020 12:00:00 AM,06-09-2020 00:00,1025,Van Nuys,1,440,THEFT PLAIN - PETTY ($950 & UNDER),35,F,119,"PORCH, RESIDENTIAL",Invest Cont,34.1649,-118.4574
200312753,06/16/2020 12:00:00 AM,06/16/2020 12:00:00 AM,720,Southwest,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),19,X,403,DRUG STORE,Invest Cont,34.0191,-118.3351
200517895,12/16/2020 12:00:00 AM,12/16/2020 12:00:00 AM,2125,Harbor,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,40,M,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",Adult Other,33.7815,-118.265
200321494,12-08-2020 00:00,12-07-2020 00:00,1700,Southwest,1,330,BURGLARY FROM VEHICLE,67,M,501,SINGLE FAMILY DWELLING,Invest Cont,34.0349,-118.3177
201012706,09-03-2020 00:00,07/27/2020 12:00:00 AM,700,West Valley,2,845,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,46,M,501,SINGLE FAMILY DWELLING,Adult Arrest,34.2179,-118.5014
201111473,07/15/2020 12:00:00 AM,07/15/2020 12:00:00 AM,1134,Northeast,2,661,UNAUTHORIZED COMPUTER ACCESS,40,F,501,SINGLE FAMILY DWELLING,Invest Cont,34.1293,-118.219
200310910,05-05-2020 00:00,05-05-2020 00:00,1130,Southwest,2,624,BATTERY - SIMPLE ASSAULT,29,M,501,SINGLE FAMILY DWELLING,Adult Other,34.0109,-118.3113
200609150,04/16/2020 12:00:00 AM,04/16/2020 12:00:00 AM,1900,Hollywood,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),26,F,104,DRIVEWAY,Invest Cont,34.0981,-118.3114
200118692,09/30/2020 12:00:00 AM,09/30/2020 12:00:00 AM,410,Central,1,210,ROBBERY,29,M,101,STREET,Juv Arrest,34.0377,-118.2607
201212836,05/15/2020 12:00:00 AM,05/15/2020 12:00:00 AM,540,77th Street,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),25,F,301,GAS STATION,Invest Cont,33.964,-118.2739
200917497,11/20/2020 12:00:00 AM,11/20/2020 12:00:00 AM,1130,Van Nuys,2,624,BATTERY - SIMPLE ASSAULT,33,F,220,NAIL SALON,Invest Cont,34.1576,-118.4231
201011914,08-10-2020 00:00,08-02-2020 00:00,1005,West Valley,1,330,BURGLARY FROM VEHICLE,0,M,101,STREET,Invest Cont,34.2141,-118.5612
200613614,08-06-2020 00:00,08-06-2020 00:00,2300,Hollywood,2,624,BATTERY - SIMPLE ASSAULT,19,F,501,SINGLE FAMILY DWELLING,Invest Cont,34.098,-118.3266
200307284,02/24/2020 12:00:00 AM,02/23/2020 12:00:00 AM,1200,Southwest,1,121,"RAPE, FORCIBLE",46,F,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",Adult Other,34.008,-118.3314
200315866,08/16/2020 12:00:00 AM,08/16/2020 12:00:00 AM,1310,Southwest,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),30,M,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",Invest Cont,34.017,-118.3477
200516175,11-04-2020 00:00,11-04-2020 00:00,1300,Harbor,1,510,VEHICLE - STOLEN,0,,108,PARKING LOT,Invest Cont,33.7983,-118.2992
200408306,04/28/2020 12:00:00 AM,04/28/2020 12:00:00 AM,1650,Hollenbeck,2,624,BATTERY - SIMPLE ASSAULT,43,F,102,SIDEWALK,Invest Cont,34.0226,-118.207
200517231,11/29/2020 12:00:00 AM,11/29/2020 12:00:00 AM,1900,Harbor,2,624,BATTERY - SIMPLE ASSAULT,41,M,301,GAS STATION,Adult Other,33.8315,-118.3065
200205286,01/27/2020 12:00:00 AM,01/26/2020 12:00:00 AM,2000,Rampart,1,510,VEHICLE - STOLEN,0,,101,STREET,Invest Cont,34.0665,-118.2828
